icon class,trimmed,,
file,file,,
file-alt,file-alt,,
file-archive,file-archive,,
file-audio,file-audio,,
file-code,file-code,,
file-contract,file-contract,,
file-csv,file-csv,,
file-download,file-download,,
file-excel,file-excel,,
file-export,file-export,,
file-image,file-image,,
fa-image,fa-image,,
file-import,file-import,,
file-invoice,file-invoice,,
file-medical,file-medical,,
file-pdf,file-pdf,,
file-powerpoint,file-powerpoint,,
file-prescription,file-prescription,,
file-signature,file-signature,,
file-spreadsheet,file-spreadsheet,,
file-video,file-video,,
file-word,file-word,,
file-zip,file-zip,,
    fa-camera-retro,fa-camera-retro,,
fa-camera,fa-camera,,
fa-microphone,fa-microphone,,
fa-microphone-slash,fa-microphone-slash,,
fa-wifi,fa-wifi,,
fa-wifi-slash,fa-wifi-slash,,
fa-mobile-alt,fa-mobile-alt,,
fa-location-dot,fa-location-dot,,
fa-location-crosshairs,fa-location-crosshairs,,
fa-compass,fa-compass,,
fa-mobile-alt,fa-mobile-alt,,
fa-smartphone,fa-smartphone,,
fa-tablet-alt,fa-tablet-alt,,
fa-keyboard,fa-keyboard,,
fa-mouse-pointer,fa-mouse-pointer,,
fa-print,fa-print,,
fa-scanner,fa-scanner,,
fa-desktop,fa-desktop,,
fa-laptop,fa-laptop,,
fa-network-wired,fa-network-wired,,
,,,
fa-chart-bar,fa-chart-bar,,
fa-chart-line,fa-chart-line,,
fa-chart-pie,fa-chart-pie,,
fa-chart-area,fa-chart-area,,
fa-table,fa-table,,
,,,
 fa-utensils,fa-utensils,,
 fa-wine-glass-alt,fa-wine-glass-alt,,
    fa-coffee,fa-coffee,,
    fa-hamburger,fa-hamburger,,
,,,
,,,
,,,
    fa-hotel,fa-hotel,,
    fa-home,fa-home,,
    fa-smile-beam,fa-smile-beam,,
    fa-theater-masks,fa-theater-masks,,
    fa-gamepad,fa-gamepad,,
,,,
,,,
    fa-shopping-cart,fa-shopping-cart,,
    fa-store-alt,fa-store-alt,,
    fa-hospital-symbol,fa-hospital-symbol,,
    fa-paw,fa-paw,,
    fa-school,fa-school,,
    fa-university,fa-university,,
    fa-mountain,fa-mountain,,
    fa-water,fa-water,,
    fa-tree,fa-tree,,
    fa-campground,fa-campground,,
,,,
    fa-landmark,fa-landmark,,
    fa-history,fa-history,,
,,,
"	","	",,
"	fa-building-dollar","	fa-building-dollar",,
,,,
,,,
,,,
    fa-police-badge,fa-police-badge,,
    fa-fire-extinguisher,fa-fire-extinguisher,,
,,,
,,,
,,,
    fa-tent,fa-tent,,
    fa-rv,fa-rv,,
    fa-tree,fa-tree,,
,,,
,,,
,,,
    fa-parking,fa-parking,,
    fa-car,fa-car,,
"	","	",,
"	fa-truck","	fa-truck",,
    fa-bus,fa-bus,,
    fa-train,fa-train,,
    fa-subway,fa-subway,,
    fa-bicycle,fa-bicycle,,
    fa-motorcycle,fa-motorcycle,,
    fa-plane,fa-plane,,
    fa-hot-air-balloon,fa-hot-air-balloon,,
    fa-ship,fa-ship,,
    fa-sailboat,fa-sailboat,,
    fa-boat,fa-boat,,
    fa-ship,fa-ship,,
,,,
    fa-skiing,fa-skiing,,
    fa-skating,fa-skating,,
,,,
    fa-biking,fa-biking,,
    fa-motorcycle,fa-motorcycle,,
    fa-wheelchair,fa-wheelchair,,
"	","	",,
"	fa-dumbbell","	fa-dumbbell",,
    fa-futbol,fa-futbol,,
,,,
    fa-tv,fa-tv,,
    fa-radio,fa-radio,,
    fa-newspaper,fa-newspaper,,
    fa-book,fa-book,,
,,,
    fa-road,fa-road,,
    fa-highway,fa-highway,,
    fa-walking,fa-walking,,
,,,
    fa-bridge,fa-bridge,,
    fa-mountain,fa-mountain,,
,, logs, and historical documents
    fa-water,fa-water,,
,,,
    fa-patio,fa-patio,,
    fa-ship-deck,fa-ship-deck,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
